Turbine.rpm;Nozzle.A;Turbine.M_2
21000;0.2478;1.90174
21000;0.2536;1.90844
21000;0.2594;1.91474
21000;0.2652;1.92066
21000;0.271;1.92623
21000;0.2768;1.93148
21000;0.2826;1.93644
21000;0.2884;1.94112
21000;0.2942;1.94554
21000;0.3;1.94973
23000;0.01;0.469278
23000;0.0158;0.618022
23000;0.0216;0.73612
23000;0.0274;0.83528
23000;0.0332;0.921365
23000;0.039;0.997773
23000;0.0448;1.06495
23000;0.0506;1.12332
23000;0.0564;1.17489
23000;0.0622;1.22108
23000;0.068;1.26288
23000;0.0738;1.30104
23000;0.0796;1.33616
23000;0.0854;1.36866
23000;0.0912;1.39891
23000;0.097;1.42719
23000;0.1028;1.45375
23000;0.1086;1.47878
23000;0.1144;1.50244
23000;0.1202;1.52487
23000;0.126;1.54619
23000;0.1318;1.56651
23000;0.1376;1.58592
23000;0.1434;1.60449
23000;0.1492;1.62229
23000;0.155;1.63937
23000;0.1608;1.65581
23000;0.1666;1.67163
23000;0.1724;1.6869
23000;0.1782;1.70163
23000;0.184;1.71551
23000;0.1898;1.72828
23000;0.1956;1.74007
23000;0.2014;1.75096
23000;0.2072;1.76105
23000;0.213;1.77041
23000;0.2188;1.7791
23000;0.2246;1.78719
23000;0.2304;1.79474
23000;0.2362;1.80178
23000;0.242;1.80836
23000;0.2478;1.81452
23000;0.2536;1.8203
23000;0.2594;1.82572
23000;0.2652;1.83082
23000;0.271;1.83561
23000;0.2768;1.84013
23000;0.2826;1.84438
23000;0.2884;1.8484
23000;0.2942;1.8522
23000;0.3;1.8558
25000;0.01;0.499246
25000;0.0158;0.648546
25000;0.0216;0.764916
25000;0.0274;0.861164
25000;0.0332;0.943628
25000;0.039;1.01586
25000;0.0448;1.07817
25000;0.0506;1.13218
25000;0.0564;1.17981
25000;0.0622;1.22237
25000;0.068;1.26082
25000;0.0738;1.29586
25000;0.0796;1.32804
25000;0.0854;1.35777
25000;0.0912;1.3854
25000;0.097;1.41119
25000;0.1028;1.43537
25000;0.1086;1.45812
25000;0.1144;1.47959
25000;0.1202;1.49993
25000;0.126;1.51923
25000;0.1318;1.5376
25000;0.1376;1.55512
25000;0.1434;1.57186
25000;0.1492;1.58789
25000;0.155;1.60327
25000;0.1608;1.61803
25000;0.1666;1.63224
25000;0.1724;1.64592
25000;0.1782;1.65912
25000;0.184;1.67153
25000;0.1898;1.68295
25000;0.1956;1.69348
25000;0.2014;1.7032
25000;0.2072;1.71219
25000;0.213;1.72053
25000;0.2188;1.72827
25000;0.2246;1.73547
25000;0.2304;1.74217
25000;0.2362;1.74843
25000;0.242;1.75428
25000;0.2478;1.75975
25000;0.2536;1.76487
25000;0.2594;1.76968
25000;0.2652;1.7742
25000;0.271;1.77845
25000;0.2768;1.78245
25000;0.2826;1.78622
25000;0.2884;1.78978
25000;0.2942;1.79314
25000;0.3;1.79632
