LPRES.Altitude;Comb_Chamb.OF;Pump_FUEL_LH2.U;Pump_LOX_OXIDIZER.U;Comb_Chamb.p_out_ch;Comb_Chamb.M_r;Heat_exchanger_1.h.T;ThrustMonitor_1.M_out
100000;6.36;438.015;108.858;2192.14;2.7763;182.693;4.91834
100000;6.48;438.015;108.858;2209.3;2.77339;183.414;4.90482
100000;6.6;438.015;108.858;2226.31;2.77053;184.127;4.89158
100000;6.72;438.015;108.858;2243.16;2.76773;184.831;4.87861
100000;6.84;438.015;108.858;2259.86;2.76497;185.527;4.86589
100000;6.96;438.015;108.858;2276.41;2.76226;186.214;4.85343
100000;7.08;438.015;108.858;2292.81;2.7596;186.894;4.84121
100000;7.2;438.015;108.858;2309.07;2.75699;187.567;4.82922
100000;7.32;438.015;108.858;2325.18;2.75442;188.232;4.81746
100000;7.44;438.015;108.858;2341.14;2.75189;188.89;4.80593
100000;7.56;438.015;108.858;2356.96;2.74941;189.541;4.79461
100000;7.68;438.015;108.858;2372.64;2.74696;190.185;4.78351
100000;7.8;438.015;108.858;2388.18;2.74456;190.824;4.77261
100000;7.92;438.015;108.858;2403.58;2.7422;191.455;4.7619
100000;8.04;438.015;108.858;2411.23;2.74103;191.586;4.75663
100000;8.16;438.015;108.858;2403.67;2.74218;190.735;4.76185
100000;8.28;438.015;108.858;2396.18;2.74333;189.899;4.76704
100000;8.4;438.015;108.858;2388.77;2.74447;189.08;4.7722
100000;8.52;438.015;108.858;2381.44;2.7456;188.275;4.77732
100000;8.64;438.015;108.858;2374.18;2.74672;187.485;4.78242
100000;8.76;438.015;108.858;2367;2.74784;186.709;4.78749
100000;8.88;438.015;108.858;2359.89;2.74895;185.946;4.79253
100000;9;438.015;108.858;2352.86;2.75005;185.197;4.79754
100000;9.12;438.015;108.858;2345.9;2.75114;184.462;4.80252
100000;9.24;438.015;108.858;2339;2.75223;183.738;4.80747
100000;9.36;438.015;108.858;2332.18;2.75331;183.027;4.81239
100000;9.48;438.015;108.858;2325.43;2.75438;182.328;4.81728
100000;9.6;438.015;108.858;2318.74;2.75544;181.641;4.82215
100000;9.72;438.015;108.858;2312.12;2.7565;180.965;4.82698
100000;9.84;438.015;108.858;2305.57;2.75755;180.3;4.83179
100000;9.96;438.015;108.858;2299.08;2.75859;179.646;4.83657
100000;10.08;438.015;108.858;2292.65;2.75963;179.002;4.84133
100000;10.2;438.015;108.858;2286.29;2.76066;178.369;4.84605
100000;10.32;438.015;108.858;2279.99;2.76168;177.746;4.85075
100000;10.44;438.015;108.858;2273.75;2.7627;177.132;4.85543
100000;10.56;438.015;108.858;2267.57;2.76371;176.527;4.86007
100000;10.68;438.015;108.858;2261.45;2.76471;175.932;4.86469
100000;10.8;438.015;108.858;2255.39;2.76571;175.346;4.86929
100000;10.92;438.015;108.858;2249.38;2.7667;174.769;4.87385
100000;11.04;438.015;108.858;2243.44;2.76768;174.201;4.8784
100000;11.16;438.015;108.858;2237.55;2.76866;173.64;4.88292
100000;11.28;438.015;108.858;2231.71;2.76963;173.088;4.88741
100000;11.4;438.015;108.858;2225.93;2.77059;172.544;4.89187
100000;11.52;438.015;108.858;2220.2;2.77155;172.008;4.89632
100000;11.64;438.015;108.858;2214.53;2.77251;171.48;4.90074
100000;11.76;438.015;108.858;2208.91;2.77345;170.959;4.90513
100000;11.88;438.015;108.858;2203.34;2.7744;170.445;4.9095
100000;12;438.015;108.858;2197.82;2.77533;169.938;4.91384
100000;12.12;438.015;108.858;2192.35;2.77626;169.439;4.91817
100000;12.24;438.015;108.858;2186.93;2.77718;168.946;4.92246
100000;12.36;438.015;108.858;2181.56;2.7781;168.46;4.92674
100000;12.48;438.015;108.858;2176.24;2.77901;167.98;4.93099
100000;12.6;438.015;108.858;2170.97;2.77992;167.507;4.93522
100000;12.72;438.015;108.858;2165.74;2.78082;167.04;4.93942
100000;12.84;438.015;108.858;2160.56;2.78172;166.58;4.94361
100000;12.96;438.015;108.858;2155.43;2.78261;166.125;4.94777
100000;13.08;438.015;108.858;2150.34;2.78349;165.676;4.95191
100000;13.2;438.015;108.858;2145.3;2.78437;165.233;4.95602
100000;13.32;438.015;108.858;2140.3;2.78525;164.796;4.96012
100000;13.44;438.015;108.858;2135.34;2.78612;164.364;4.96419
100000;13.56;438.015;108.858;2130.43;2.78698;163.937;4.96824
100000;13.68;438.015;108.858;2125.56;2.78784;163.516;4.97227
100000;13.8;438.015;108.858;2120.73;2.78869;163.1;4.97628
100000;13.92;438.015;108.858;2115.94;2.78954;162.689;4.98027
100000;14.04;438.015;108.858;2111.19;2.79038;162.284;4.98423
100000;14.16;438.015;108.858;2106.49;2.79122;161.883;4.98818
100000;14.28;438.015;108.858;2101.82;2.79205;161.487;4.9921
100000;14.4;438.015;108.858;2097.19;2.79288;161.095;4.99601
100000;14.52;438.015;108.858;2092.61;2.79371;160.709;4.99989
100000;14.64;438.015;108.858;2088.06;2.79453;160.326;5.00375
100000;14.76;438.015;108.858;2083.54;2.79534;159.949;5.0076
100000;14.88;438.015;108.858;2079.07;2.79615;159.575;5.01142
100000;15;438.015;108.858;2074.63;2.79695;159.206;5.01523
